"industry","country","gender","race","age","education","prof_exp","field_exp","usd_total_comp","age_mid","age_scale","prof_exp_mid","field_exp_mid","edu_num","edu_scale","wht_notwht","wom_notwom","usa","ind_dom"
"Education","usa","Other","White","25-34","PhD","10-","10-",62.5,30,"Young",5,5,5,"High","White","Not Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","Master's degree","11-20","11-20",80,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","11-20",70,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","25-34","Master's degree","10-","10-",34.299,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","uk","Woman","White","25-34","Master's degree","11-20","11-20",125.1,30,"Young",15,15,4,"High","White","Woman","Not USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",50,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","10-",85,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Retail","usa","Woman","White","35-44","High School","10-","10-",102,40,"Middle",5,5,1,"Low","White","Woman","USA","Not Woman"
"Law","usa","Woman","White","35-44","Master's degree","11-20","10-",125,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Property or Construction","usa","Woman","White","35-44","Some college","11-20","10-",60,40,"Middle",15,5,2,"Low","White","Woman","USA","Woman"
"Law","usa","Woman","White","55+","Master's degree","31+","31+",275,60,"Old",35,35,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","Hispanic","25-34","College degree","10-","10-",48.5,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","11-20",148,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Law","usa","Woman","White","25-34","College degree","11-20","11-20",54.58,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Insurance","usa","Woman","White","35-44","Master's degree","11-20","10-",200,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","canada","Woman","White","25-34","College degree","10-","10-",48,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Libraries and Museums","usa","Man","White","45-54","Master's degree","21-30","11-20",71,50,"Old",25,15,4,"High","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",53,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","35-44","Master's degree","11-20","11-20",82.16,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","11-20","10-",71,30,"Young",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Science","usa","Woman","Hispanic","24-","College degree","10-","10-",25.7,20,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",105,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Libraries and Museums","usa","Woman","White","35-44","Master's degree","11-20","11-20",77,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","Master's degree","11-20","10-",50,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","uk","Woman","White","25-34","College degree","10-","10-",35.05163,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Business or Consulting","usa","Other","White","25-34","College degree","10-","10-",31.616,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","10-",97,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","24-","College degree","10-","10-",62,20,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Animal Welfare","usa","Woman","White","35-44","College degree","11-20","10-",82.5,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Other","White","25-34","College degree","10-","10-",71,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","Master's degree","21-30","11-20",88,50,"Old",25,15,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","Asian ","25-34","College degree","10-","10-",31.5,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","Master's degree","10-","10-",76,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Health care","usa","Other","White","35-44","College degree","21-30","21-30",195,40,"Middle",25,25,3,"Medium","White","Not Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","Hispanic","25-34","Some college","11-20","10-",45.76,30,"Young",15,5,2,"Low","Not White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",86,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","canada","Woman","White","25-34","Master's degree","10-","10-",62.592,30,"Young",5,5,4,"High","White","Woman","Not USA","Not Woman"
"Education","usa","Woman","White","25-34","Master's degree","10-","10-",56,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Sales","uk","Woman","White","35-44","High School","11-20","10-",32.0395,40,"Middle",15,5,1,"Low","White","Woman","Not USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",69,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Law","usa","Woman","White","25-34","Master's degree","10-","10-",125,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",55,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","11-20",175,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","25-34","College degree","10-","10-",60,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","Master's degree","10-","10-",190,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","Some college","21-30","10-",60.32,50,"Old",25,5,2,"Low","White","Woman","USA","Not Woman"
"Government and Public Administration","usa","Woman","White","35-44","PhD","10-","10-",143.75,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","45-54","PhD","21-30","21-30",94,50,"Old",25,25,5,"High","White","Woman","USA","Woman"
"Health care","canada","Woman","White","25-34","Master's degree","10-","10-",78.4,30,"Young",5,5,4,"High","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Some college","11-20","11-20",49,40,"Middle",15,15,2,"Low","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",120,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Other","White","25-34","Master's degree","10-","10-",28,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","55+","College degree","31+","31+",135,60,"Old",35,35,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","College degree","10-","10-",40.575,40,"Middle",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",75.5,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",127,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","10-","10-",70,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",111.4,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Libraries and Museums","usa","Woman","White","24-","Some college","10-","10-",29,20,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","55+","College degree","31+","31+",61,60,"Old",35,35,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","55+","Master's degree","11-20","10-",47.25,60,"Old",15,5,4,"High","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Man","White","35-44","Some college","11-20","11-20",100,40,"Middle",15,15,2,"Low","White","Not Woman","USA","Not Woman"
"Computing or Tech","germany","Other","White","35-44","High School","21-30","11-20",306.8,40,"Middle",25,15,1,"Low","White","Not Woman","Not USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","11-20",45,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Nonprofits","usa","Woman","White","25-34","Master's degree","10-","10-",72,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","25-34","Master's degree","10-","10-",78.167,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",187.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","45-54","Master's degree","21-30","21-30",124,50,"Old",25,25,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Man","White","45-54","College degree","21-30","21-30",108,50,"Old",25,25,3,"Medium","White","Not Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","Master's degree","11-20","11-20",115,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","10-",83,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","Master's degree","10-","10-",124,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","25-34","Master's degree","10-","10-",45,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","25-34","PhD","11-20","10-",93,30,"Young",15,5,5,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","35-44","Master's degree","11-20","11-20",134.55,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Insurance","usa","Woman","White","45-54","Some college","21-30","21-30",66,50,"Old",25,25,2,"Low","White","Woman","USA","Woman"
"Science","usa","Woman","White","35-44","Master's degree","10-","10-",71.697,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Property or Construction","usa","Woman","White","45-54","Some college","31+","21-30",99,50,"Old",35,25,2,"Low","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",120,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Other","Hispanic","25-34","Master's degree","10-","10-",52,30,"Young",5,5,4,"High","Not White","Not Woman","USA","Woman"
"Marketing, Advertising & PR","canada","Woman","White","25-34","Some college","10-","10-",49.2,30,"Young",5,5,2,"Low","White","Woman","Not USA","Woman"
"Leisure, Sport & Tourism","usa","Woman","White","35-44","High School","21-30","21-30",85,40,"Middle",25,25,1,"Low","White","Woman","USA","Not Woman"
"Recruitment or HR","usa","Woman","White","25-34","Some college","10-","10-",56,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Man","Asian ","45-54","College degree","21-30","21-30",49.84,50,"Old",25,25,3,"Medium","Not White","Not Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","45-54","Master's degree","21-30","11-20",170,50,"Old",25,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","Master's degree","21-30","21-30",150,50,"Old",25,25,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","45-54","PhD","21-30","21-30",110,50,"Old",25,25,5,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","Asian ","25-34","College degree","10-","10-",105,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Social Work","usa","Woman","Asian ","35-44","Master's degree","11-20","11-20",105.5,40,"Middle",15,15,4,"High","Not White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Man","White","25-34","College degree","10-","10-",150,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Health care","usa","Woman","White","45-54","College degree","21-30","10-",125,50,"Old",25,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",63,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Sales","uk","Woman","White","25-34","College degree","10-","10-",139,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Libraries and Museums","usa","Woman","White","35-44","Master's degree","11-20","11-20",80,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Man","White","25-34","Master's degree","10-","10-",52,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",112,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Education","uk","Woman","White","45-54","PhD","21-30","21-30",75.06,50,"Old",25,25,5,"High","White","Woman","Not USA","Woman"
"Media & Digital","usa","Woman","Black","45-54","Master's degree","21-30","21-30",120,50,"Old",25,25,4,"High","Not White","Woman","USA","Woman"
"Recruitment or HR","uk","Woman","White","25-34","College degree","10-","10-",56.45207,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Libraries and Museums","usa","Woman","White","35-44","Master's degree","11-20","10-",72.4,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","11-20",112.5,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Education","canada","Woman","White","25-34","College degree","10-","10-",46.4,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Business or Consulting","canada","Woman","White","25-34","Some college","10-","10-",46.4,30,"Young",5,5,2,"Low","White","Woman","Not USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","24-","College degree","10-","10-",45,20,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","10-","10-",75,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","25-34","College degree","10-","10-",115,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Leisure, Sport & Tourism","ireland","Woman","White","25-34","Master's degree","10-","10-",38.5152,30,"Young",5,5,4,"High","White","Woman","Not USA","Not Woman"
